date,symbol,close,return_daily,sma_10,sma_50,volatility_10d,target_up
2020-03-13,AAPL,67.1029281616211,0.11980811034151895,68.21966361999512,73.73338935852051,0.07426802136107215,0
2020-03-16,AAPL,58.47034454345703,-0.12864689894563186,66.85331916809082,73.4561190032959,0.07777214524380338,1
2020-03-17,AAPL,61.04128646850586,0.04397001497294095,65.97316207885743,73.24433181762696,0.07994539046709385,0
2020-03-18,AAPL,59.54700469970703,-0.024479853804683538,64.61961212158204,72.99124359130859,0.07744690747221719,0
2020-03-19,AAPL,59.09075164794922,-0.007662065523844186,63.4574951171875,72.73582153320312,0.07731435077423854,0
2020-03-20,AAPL,55.33934020996094,-0.06348559348742822,62.01414566040039,72.38225128173828,0.07879997199126786,0
2020-03-23,AAPL,54.163700103759766,-0.021244201715103883,61.00507926940918,71.9741495513916,0.07606440120432005,1
2020-03-24,AAPL,59.597694396972656,0.10032538919614331,60.076642227172854,71.67135566711426,0.08005605420480813,0
2020-03-25,AAPL,59.26938629150391,-0.0055087383629629505,59.35460319519043,71.33006172180175,0.0796457612800295,1
2020-03-26,AAPL,62.3883171081543,0.052622964599474464,59.60107536315918,71.07176147460937,0.07484067973780069,0
2020-03-27,AAPL,59.805301666259766,-0.04140222980236352,58.87131271362305,70.76825523376465,0.06436847552740582,1
2020-03-30,AAPL,61.51202774047852,0.028538039716663466,59.1754810333252,70.48009872436523,0.04953783650597087,0
2020-03-31,AAPL,61.386505126953125,-0.0020406190160887627,59.21000289916992,70.17262115478516,0.04774074514299268,0
2020-04-01,AAPL,58.15652847290039,-0.0526170474662605,59.07095527648926,69.81094841003419,0.05021163221338344,1
2020-04-02,AAPL,59.126949310302734,0.016686361151259765,59.07457504272461,69.46324111938476,0.05045576704062006,0
2020-04-03,AAPL,58.2772216796875,-0.014371240872851354,59.36836318969726,69.09117004394531,0.04561957415436091,1
2020-04-06,AAPL,63.36117172241211,0.08723734413194606,60.2881103515625,68.82520942687988,0.05097852950961562,0
2020-04-07,AAPL,62.62731552124024,-0.011582112218298635,60.591072463989256,68.58965515136718,0.0421622854214413,1
2020-04-08,AAPL,64.230224609375,0.025594408363090793,61.08715629577637,68.34406188964844,0.042385578546265554,1
2020-04-09,AAPL,64.69374084472656,0.0072164816201485404,61.3176986694336,68.07570831298828,0.03951197118590306,1
2020-04-13,AAPL,65.96350860595703,0.01962736649095742,61.93351936340332,67.83501358032227,0.03624204120362812,1
2020-04-14,AAPL,69.29487609863281,0.05050318824876654,62.71180419921875,67.73011306762696,0.03808051542794922,0
